company,title,location,location_metro,location_type,salary,annual_salary_min,annual_salary_max,seniority,function,date_posted,source_url
carta,"Business Development Manager, Venture Capital","London, England","London, UK",onsite,,,,manager,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7593327003
carta,Business Development Representative,"Hong Kong, China",Hong Kong,onsite,,,,mid,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7591996003
carta,"Business Development Representative, Investors","Sydney, Australia","Sydney, Australia",onsite,,,,mid,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7591994003
carta,Data Operations Analyst,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",onsite,,,,mid,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7592159003
carta,"Director, HR (GTM + G&A) ","San Francisco, CA",San Francisco Bay Area,onsite,"$225,000 - $300,000",225000.0,300000.0,director,people,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7534074003
carta,Director of Information Technology,"Waterloo, Ontario, Canada","Waterloo, Canada",onsite,"$174,000 - $232,000",174000.0,232000.0,director,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7543959003
carta,Director of Information Technology,"San Francisco, CA; Santa Clara, CA; Sandy, UT; Seattle, WA; New York, NY",San Francisco Bay Area,onsite,"$206,250 - $275,000",206250.0,275000.0,director,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7539397003
carta,Field Marketing Manager,"Abu Dhabi, UAE","Abu Dhabi, UAE",onsite,,,,manager,marketing,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7590547003
carta,Finance and Equity Analyst - Rotational Program,"Seattle, WA",Seattle Metro,onsite,"$71,250 - $76,000",71250.0,76000.0,mid,finance,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7143172003
carta,Finance and Equity Analyst - Rotational Program,"Sandy, UT",Salt Lake City Metro,onsite,,,,mid,finance,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/5640725003
carta,"Fund Accountant, Implementations","Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",onsite,,,,mid,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7566853003
carta,Fund Controller,"Hong Kong, China",Hong Kong,onsite,,,,mid,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7604629003
carta,General Interest - PcD,Rio de Janeiro,"Rio de Janeiro, Brazil",onsite,,,,mid,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/5505562003
carta,General Interest - PcD,Rio de Janeiro,"Rio de Janeiro, Brazil",onsite,,,,mid,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/5505536003
carta,Head of GTM Content,"San Francisco, CA",San Francisco Bay Area,onsite,"$176,000 - $220,000",176000.0,220000.0,head,marketing,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7552210003
carta,Implementations Accounting Analyst,Singapore,Singapore,onsite,,,,mid,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7571187003
